,date,Ticker,monthly_return,Company Name,year,esg,Sector,Industry,market_return,risk_free_rate
0,2019-01-31,AOS,0.12599951859111203,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.08006583033108616,0.0033333333333333335
1,2019-02-28,AOS,0.08504035781738906,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.032415704618935504,0.0033333333333333335
2,2019-03-29,AOS,0.02676810430121246,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.018078961032362173,0.0033333333333333335
3,2019-04-30,AOS,-0.010180134399703111,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.0408522146608965,0.0033333333333333335
4,2019-05-31,AOS,-0.22959808618555733,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.06377089349752818,0.0033333333333333335
5,2019-06-28,AOS,0.1644439774477462,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.06959229737207817,0.0033333333333333335
6,2019-07-31,AOS,-0.03157769756838902,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.01511938840098681,0.0033333333333333335
7,2019-08-30,AOS,0.023542133577884483,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.01674344214568413,0.0033333333333333335
8,2019-09-30,AOS,0.02558076579393087,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.01947898621718913,0.0033333333333333335
9,2019-10-31,AOS,0.04625076792626048,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.022104880815917882,0.0033333333333333335
10,2019-11-29,AOS,-0.025764622092828593,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.03619805014378419,0.0033333333333333335
11,2019-12-31,AOS,-0.015702594869844044,A. O. Smith,2019.0,16.27,MANUFACTURING,HOUSEHOLD APPLIANCES,0.02903351553694522,0.0033333333333333335
12,2020-01-31,AOS,-0.0989548530997022,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.00040378021942422127,0.0033333333333333335
13,2020-02-28,AOS,-0.07355422511737497,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.07916580472968038,0.0033333333333333335
14,2020-03-31,AOS,-0.04399496849732676,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.12464268647002086,0.0033333333333333335
15,2020-04-30,AOS,0.12697254986623574,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.12698360200018088,0.0033333333333333335
16,2020-05-29,AOS,0.12081369130366126,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.04764524619273791,0.0033333333333333335
17,2020-06-30,AOS,-0.008000776056800052,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.017761105699659385,0.0033333333333333335
18,2020-07-31,AOS,0.026705844551961233,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.05889193935001935,0.0033333333333333335
19,2020-08-31,AOS,0.017241770303244586,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.06979660274131261,0.0033333333333333335
20,2020-09-30,AOS,0.07821128170373659,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.037398293968299856,0.0033333333333333335
21,2020-10-30,AOS,-0.01625348909335278,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,-0.02493347834755355,0.0033333333333333335
22,2020-11-30,AOS,0.08937785446910307,A. O. Smith,2020.0,24.74,MANUFACTURING,HOUSEHOLD APPLIANCES,0.10877683810482486,0.0033333333333333335
